feature,feature,type,p_value,relevant
"frequency__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","frequency__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",real,2.376957150873758e-05,True
frequency__ratio_beyond_r_sigma__r_1.5,frequency__ratio_beyond_r_sigma__r_1.5,real,2.6107062448863554e-05,True
"frequency__fft_coefficient__attr_""angle""__coeff_13","frequency__fft_coefficient__attr_""angle""__coeff_13",real,2.6887628328298122e-05,True
"frequency__fft_coefficient__attr_""angle""__coeff_59","frequency__fft_coefficient__attr_""angle""__coeff_59",real,2.8010745694938877e-05,True
"frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",real,3.0392172333064055e-05,True
"frequency__fft_coefficient__attr_""real""__coeff_8","frequency__fft_coefficient__attr_""real""__coeff_8",real,3.296520781854489e-05,True
frequency__ratio_beyond_r_sigma__r_2.5,frequency__ratio_beyond_r_sigma__r_2.5,real,3.5588635641329616e-05,True
"frequency__fft_coefficient__attr_""angle""__coeff_35","frequency__fft_coefficient__attr_""angle""__coeff_35",real,3.5744311865560505e-05,True
frequency__lempel_ziv_complexity__bins_100,frequency__lempel_ziv_complexity__bins_100,real,3.7053340419041974e-05,True
"frequency__agg_autocorrelation__f_agg_""var""__maxlag_40","frequency__agg_autocorrelation__f_agg_""var""__maxlag_40",real,3.8744954668490515e-05,True
frequency__autocorrelation__lag_2,frequency__autocorrelation__lag_2,real,4.033347955050695e-05,True
"frequency__fft_coefficient__attr_""abs""__coeff_13","frequency__fft_coefficient__attr_""abs""__coeff_13",real,4.5478178043142594e-05,True
"frequency__fft_coefficient__attr_""real""__coeff_19","frequency__fft_coefficient__attr_""real""__coeff_19",real,4.924734655796775e-05,True
"frequency__fft_coefficient__attr_""real""__coeff_28","frequency__fft_coefficient__attr_""real""__coeff_28",real,5.124118947891733e-05,True
"frequency__fft_coefficient__attr_""imag""__coeff_16","frequency__fft_coefficient__attr_""imag""__coeff_16",real,6.490654234042918e-05,True
"frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","frequency__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",real,6.490654234042918e-05,True
"frequency__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","frequency__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",real,7.018210748380547e-05,True
"frequency__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","frequency__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",real,7.296959427596551e-05,True
"frequency__fft_coefficient__attr_""real""__coeff_35","frequency__fft_coefficient__attr_""real""__coeff_35",real,7.886170025278526e-05,True
"frequency__fft_coefficient__attr_""abs""__coeff_12","frequency__fft_coefficient__attr_""abs""__coeff_12",real,8.19737546327778e-05,True
frequency__autocorrelation__lag_3,frequency__autocorrelation__lag_3,real,8.854935860995881e-05,True
frequency__ar_coefficient__coeff_3__k_10,frequency__ar_coefficient__coeff_3__k_10,real,8.854935860995881e-05,True
frequency__number_peaks__n_5,frequency__number_peaks__n_5,real,9.657368604322132e-05,True
"frequency__fft_coefficient__attr_""real""__coeff_34","frequency__fft_coefficient__attr_""real""__coeff_34",real,0.00010723566749278979,True
"frequency__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","frequency__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",real,0.0001201724378187378,True
frequency__minimum,frequency__minimum,real,0.0001248022264770545,True
"frequency__fft_coefficient__attr_""imag""__coeff_15","frequency__fft_coefficient__attr_""imag""__coeff_15",real,0.00014505642965905255,True
frequency__benford_correlation,frequency__benford_correlation,real,0.00016223711191045237,True
frequency__ar_coefficient__coeff_6__k_10,frequency__ar_coefficient__coeff_6__k_10,real,0.00016223711191045237,True
frequency__number_peaks__n_3,frequency__number_peaks__n_3,real,0.00016271310356642522,True
"frequency__fft_coefficient__attr_""abs""__coeff_11","frequency__fft_coefficient__attr_""abs""__coeff_11",real,0.00016837734151686724,True
frequency__binned_entropy__max_bins_10,frequency__binned_entropy__max_bins_10,real,0.0002100582048323684,True
"frequency__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","frequency__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,0.000301716810998069,True
"frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""","frequency__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",real,0.0003358054369442745,True
"frequency__fft_coefficient__attr_""angle""__coeff_12","frequency__fft_coefficient__attr_""angle""__coeff_12",real,0.0004007389640445078,True
"frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""","frequency__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",real,0.0004007389640445078,True
"frequency__fft_coefficient__attr_""real""__coeff_29","frequency__fft_coefficient__attr_""real""__coeff_29",real,0.0004298570115876242,True
"frequency__fft_coefficient__attr_""abs""__coeff_10","frequency__fft_coefficient__attr_""abs""__coeff_10",real,0.00047725791108757136,True
"frequency__fft_coefficient__attr_""real""__coeff_17","frequency__fft_coefficient__attr_""real""__coeff_17",real,0.0005115203876762959,True
"frequency__fft_coefficient__attr_""abs""__coeff_54","frequency__fft_coefficient__attr_""abs""__coeff_54",real,0.0005115203876762959,True
"frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",real,0.0005115203876762959,True
"frequency__fft_coefficient__attr_""imag""__coeff_61","frequency__fft_coefficient__attr_""imag""__coeff_61",real,0.0005294988218469268,True
"frequency__fft_coefficient__attr_""imag""__coeff_14","frequency__fft_coefficient__attr_""imag""__coeff_14",real,0.0005294988218469268,True
"frequency__fft_coefficient__attr_""imag""__coeff_91","frequency__fft_coefficient__attr_""imag""__coeff_91",real,0.000607464662532318,True
"frequency__fft_coefficient__attr_""angle""__coeff_23","frequency__fft_coefficient__attr_""angle""__coeff_23",real,0.0007964240489927316,True
"frequency__fft_coefficient__attr_""angle""__coeff_14","frequency__fft_coefficient__attr_""angle""__coeff_14",real,0.0008235484177940747,True
"frequency__fft_coefficient__attr_""abs""__coeff_23","frequency__fft_coefficient__attr_""abs""__coeff_23",real,0.0008515277280482053,True
frequency__partial_autocorrelation__lag_3,frequency__partial_autocorrelation__lag_3,real,0.0009408430240417957,True
"frequency__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","frequency__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,0.0009408430240417957,True
"frequency__fft_coefficient__attr_""angle""__coeff_55","frequency__fft_coefficient__attr_""angle""__coeff_55",real,0.0009724929432329908,True
"frequency__fft_coefficient__attr_""angle""__coeff_37","frequency__fft_coefficient__attr_""angle""__coeff_37",real,0.0010387710534480318,True
"frequency__fft_coefficient__attr_""real""__coeff_52","frequency__fft_coefficient__attr_""real""__coeff_52",real,0.0010734552598528407,True
"frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",real,0.0010734552598528407,True
"frequency__fft_coefficient__attr_""angle""__coeff_33","frequency__fft_coefficient__attr_""angle""__coeff_33",real,0.001305067756233111,True
"frequency__fft_coefficient__attr_""real""__coeff_45","frequency__fft_coefficient__attr_""real""__coeff_45",real,0.001305067756233111,True
"frequency__fft_coefficient__attr_""real""__coeff_5","frequency__fft_coefficient__attr_""real""__coeff_5",real,0.001347882627778585,True
frequency__ar_coefficient__coeff_2__k_10,frequency__ar_coefficient__coeff_2__k_10,real,0.0013919900046852256,True
"frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","frequency__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",real,0.001437424994077131,True
"frequency__fft_coefficient__attr_""real""__coeff_18","frequency__fft_coefficient__attr_""real""__coeff_18",real,0.001582059171439681,True
"frequency__fft_coefficient__attr_""angle""__coeff_24","frequency__fft_coefficient__attr_""angle""__coeff_24",real,0.0016331724077541883,True
"frequency__fft_coefficient__attr_""imag""__coeff_60","frequency__fft_coefficient__attr_""imag""__coeff_60",real,0.0017399866555403054,True
